iter	RMSE
0	407.3366369
1	401.5760448
2	396.6596862
3	391.610986
4	386.55171
5	382.0912419
6	377.6007881
7	372.9968921
8	368.455176
9	364.2159646
10	359.677705
11	356.0891965
12	353.1199528
13	349.7366783
14	346.540288
15	342.398476
16	339.4102163
17	336.3230618
18	333.4723812
19	330.7575391
20	327.7025844
21	325.0135165
22	322.2663955
23	319.7953484
24	317.3023146
25	314.8565139
26	312.4776694
27	310.201291
28	308.0676622
29	305.7496128
30	304.0631937
31	301.6493781
32	300.3330921
33	298.8262435
34	296.9419589
35	295.3758539
36	293.1340312
37	291.2881199
38	289.9593836
39	288.8858006
40	286.5766881
41	286.2336322
42	284.7081921
43	283.2034115
44	281.2300223
45	279.3483568
46	277.3247456
47	275.2696806
48	274.4643155
49	272.471713
50	271.091136
51	269.9953788
52	268.9681726
53	267.6172947
54	267.0523472
55	265.7614851
56	264.8748876
57	263.363146
58	262.6209566
59	261.553831
60	260.5014112
61	258.819827
62	256.8054162
63	256.6142837
64	254.9379154
65	254.214689
66	253.3969739
67	252.3715071
68	251.2276774
69	249.6216151
70	248.3469643
71	247.9587713
72	247.1797041
73	246.1307763
74	245.762482
75	245.3963243
76	244.4391087
77	243.5733877
78	242.5992283
79	241.5591181
80	240.3938098
81	239.0959643
82	238.1249151
83	237.1632761
84	235.6427158
85	235.2170417
86	234.2213981
87	232.9749465
88	231.6310414
89	231.3364471
90	230.1001814
91	229.5143365
92	228.6173545
93	228.1064468
94	227.5486701
95	226.3119642
96	225.1817964
97	224.7048821
98	224.1869926
99	224.007691
100	223.2746639
101	222.4443642
102	222.3689333
103	221.2148044
104	220.4900355
105	219.8460514
106	218.9299035
107	218.3244394
108	217.7860142
109	216.9337152
110	216.0962959
111	215.2486913
112	214.6636759
113	213.8329357
114	212.7535053
115	212.3141592
116	211.4219641
117	211.1746606
118	210.3732352
119	210.087831
120	209.8259714
121	209.5920011
122	208.989334
123	208.6200615
124	208.327524
125	208.2258033
126	207.9293929
127	206.9280071
128	206.1701808
129	206.0579706
130	205.9016076
131	205.8036299
132	205.4309348
133	204.5720542
134	204.0876291
135	203.9951971
136	203.6289557
137	202.9313809
138	202.2801023
139	201.5675845
140	200.9966345
141	200.5346668
142	200.2731116
143	200.2425419
144	199.0959112
145	198.6787793
146	198.2900205
147	198.2217483
148	197.9162974
149	197.3245606
150	197.2910078
151	196.7172264
152	196.4566543
153	195.8508015
154	195.2218885
155	195.0890798
156	194.4286455
157	193.64832
158	193.3139437
159	192.6386824
160	191.7007121
161	191.3314776
162	190.7881672
163	190.1373965
164	189.675847
165	189.4164501
166	188.761305
167	188.2849878
168	188.0556031
169	187.5421355
170	187.1204891
171	187.0465933
172	186.9334829
173	186.7200569
174	186.3272655
175	186.1599023
176	185.8252226
177	185.6641548
178	185.4094593
179	185.0273489
180	184.8124207
181	184.5653949
182	184.3148053
183	184.063732
184	183.728349
185	183.3160742
186	183.0622457
187	182.6556466
188	181.7736989
189	181.6225013
190	181.4464118
191	181.1615796
192	180.8146168
193	180.555732
194	180.4480094
195	179.8557229
196	179.6289799
