iter	Passed	Remaining
0	179	178869
1	237	118409
2	275	91567
3	349	87098
4	412	82072
5	457	75872
6	491	69706
7	526	65304
8	606	66762
9	716	70962
10	758	68231
11	804	66226
12	867	65860
13	924	65121
14	991	65125
15	1036	63740
16	1080	62504
17	1119	61049
18	1204	62170
19	1240	60766
20	1280	59698
21	1321	58750
22	1356	57634
23	1396	56808
24	1428	55719
25	1458	54655
26	1490	53721
27	1538	53391
28	1573	52698
29	1607	51960
30	1638	51204
31	1672	50598
32	1706	50020
33	1739	49423
34	1773	48885
35	1800	48201
36	1833	47711
37	1863	47185
38	1895	46717
39	1932	46387
40	1975	46197
41	2006	45765
42	2038	45367
43	2063	44844
44	2098	44544
45	2130	44178
46	2164	43893
47	2197	43590
48	2236	43407
49	2274	43207
50	2302	42835
51	2338	42639
52	2371	42367
53	2397	42005
54	2425	41676
55	2455	41385
56	2481	41048
57	2510	40775
58	2539	40501
59	2566	40210
60	2588	39852
61	2615	39570
62	2642	39308
63	2672	39078
64	2699	38827
65	2727	38591
66	2740	38166
67	2769	37960
68	2795	37713
69	2823	37514
70	2851	37309
71	2880	37121
72	2908	36939
73	2938	36765
74	2976	36707
75	2993	36389
76	3021	36213
77	3048	36030
78	3077	35878
79	3106	35719
80	3133	35553
81	3160	35378
82	3188	35231
83	3217	35083
84	3244	34921
85	3274	34806
86	3305	34688
87	3332	34541
88	3360	34402
89	3389	34266
90	3416	34128
91	3442	33980
92	3471	33858
93	3501	33751
94	3530	33633
95	3556	33494
96	3587	33392
97	3617	33299
98	3646	33182
99	3673	33059
100	3702	32958
101	3732	32857
102	3740	32578
103	3768	32471
104	3797	32367
105	3824	32256
106	3853	32160
107	3888	32119
108	3922	32059
109	3951	31968
110	3984	31913
111	4013	31822
112	4040	31719
113	4068	31622
114	4096	31523
115	4125	31441
116	4153	31343
117	4180	31249
118	4209	31163
119	4236	31068
120	4265	30988
121	4294	30906
122	4330	30879
123	4355	30766
124	4385	30695
125	4408	30577
126	4435	30487
127	4465	30420
128	4493	30341
129	4523	30270
130	4552	30198
131	4582	30131
132	4611	30059
133	4639	29985
134	4668	29911
135	4695	29832
136	4717	29714
137	4744	29636
138	4775	29578
139	4801	29497
140	4824	29388
141	4850	29305
142	4879	29240
143	4887	29056
144	4914	28976
145	4941	28905
146	4970	28841
147	5003	28802
148	5031	28735
149	5058	28663
150	5071	28512
151	5097	28439
152	5125	28374
153	5153	28312
154	5181	28247
